Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
G,0,D'Angelo Russell,D. Russell,All,1.96,90,23.43,2368,4.14,-0.73,-0.55
F,4,Omari Spellman,O. Spellman,GSW,2.06,111,26.16,924,4.46,1.03,1.09
F,4,Omari Spellman,O. Spellman,All,2.06,111,26.16,924,4.46,1.03,1.09
G,11,Klay Thompson,K. Thompson,GSW,2.01,98,24.26,630,4.28,-0.2,0.17
G,11,Klay Thompson,K. Thompson,All,2.01,98,24.26,630,4.28,-0.2,0.17
G,21,Patrick Beverley,P. Beverley,LAC,1.85,84,24.54,1885,4.4,-0.01,0.78
G,21,Patrick Beverley,P. Beverley,All,1.85,84,24.54,1885,4.4,-0.01,0.78
F,13,Paul George,P. George,LAC,2.06,100,23.56,2244,4.09,-0.64,-0.8
F,13,Paul George,P. George,All,2.06,100,23.56,2244,4.09,-0.64,-0.8
F,4,JaMychal Green,J. Green,LAC,2.06,103,24.27,1500,4.27,-0.19,0.12
F,4,JaMychal Green,J. Green,All,2.06,103,24.27,1500,4.27,-0.19,0.12
F,8,Maurice Harkless,M. Harkless,LAC,2.06,100,23.56,1650,4.25,-0.64,0.01
F,8,Maurice Harkless,M. Harkless,All,2.06,100,23.56,1650,4.25,-0.64,0.01
F/C,5,Montrezl Harrell,M. Harrell,LAC,2.03,109,26.45,2028,3.93,1.21,-1.62
F/C,5,Montrezl Harrell,M. Harrell,All,2.03,109,26.45,2028,3.93,1.21,-1.62
F,2,Kawhi Leonard,K. Leonard,LAC,2.01,104,25.74,2108,4.23,0.76,-0.09
F,2,Kawhi Leonard,K. Leonard,All,2.01,104,25.74,2108,4.23,0.76,-0.09
G/F,19,Rodney McGruder,R. McGruder,LAC,1.93,91,24.43,933,4.57,-0.08,1.65
G/F,19,Rodney McGruder,R. McGruder,All,1.93,91,24.43,933,4.57,-0.08,1.65
F,54,Patrick Patterson,P. Patterson,LAC,2.06,104,24.51,390,4.33,-0.04,0.42
F,54,Patrick Patterson,P. Patterson,All,2.06,104,24.51,390,4.33,-0.04,0.42
G,1,Jerome Robinson,J. Robinson,LAC,1.96,86,22.39,624,4.5,-1.4,1.29
G,1,Jerome Robinson,J. Robinson,All,1.96,86,22.39,624,4.5,-1.4,1.29
G,20,Landry Shamet,L. Shamet,LAC,1.96,85,22.13,2028,4.63,-1.57,1.96
G,20,Landry Shamet,L. Shamet,All,1.96,85,22.13,2028,4.63,-1.57,1.96
C,40,Ivica Zubac,I. Zubac,LAC,2.16,109,23.36,1560,4.24,-0.77,-0.04
C,40,Ivica Zubac,I. Zubac,All,2.16,109,23.36,1560,4.24,-0.77,-0.04
G,11,Avery Bradley,A. Bradley,LAL,1.88,82,23.2,1580,4.32,-0.88,0.37
G,11,Avery Bradley,A. Bradley,All,1.88,82,23.2,1580,4.32,-0.88,0.37
G,1,Kentavious Caldwell-Pope,K. Caldwell-Pope,LAL,1.96,93,24.21,1560,4.28,-0.23,0.17
G,1,Kentavious Caldwell-Pope,K. Caldwell-Pope,All,1.96,93,24.21,1560,4.28,-0.23,0.17
G,4,Alex Caruso,A. Caruso,LAL,1.96,84,21.87,936,4.23,-1.73,-0.09
G,4,Alex Caruso,A. Caruso,All,1.96,84,21.87,936,4.23,-1.73,-0.09
G,2,Quinn Cook,Q. Cook,LAL,1.88,81,22.92,624,4.45,-1.06,1.04
G,2,Quinn Cook,Q. Cook,All,1.88,81,22.92,624,4.45,-1.06,1.04
G,30,Troy Daniels,T. Daniels,LAL,1.93,93,24.97,234,4.36,0.26,0.58
G,30,Troy Daniels,T. Daniels,All,1.93,93,24.97,234,4.36,0.26,0.58
F/C,3,Anthony Davis,A. Davis,LAL,2.08,115,26.58,2584,3.9,1.3,-1.77
F/C,3,Anthony Davis,A. Davis,All,2.08,115,26.58,2584,3.9,1.3,-1.77
F,10,Jared Dudley,J. Dudley,LAL,2.01,108,26.73,380,4.09,1.39,-0.8
F,10,Jared Dudley,J. Dudley,All,2.01,108,26.73,380,4.09,1.39,-0.8
C,39,Dwight Howard,D. Howard,LAL,2.11,120,26.95,1224,3.9,1.54,-1.77
C,39,Dwight Howard,D. Howard,All,2.11,120,26.95,1224,3.9,1.54,-1.77
F,23,LeBron James,L. James,LAL,2.03,113,27.42,2584,3.78,1.84,-2.39
F,23,LeBron James,L. James,All,2.03,113,27.42,2584,3.78,1.84,-2.39
F,0,Kyle Kuzma,K. Kuzma,LAL,2.06,100,23.56,2496,4.42,-0.64,0.88
F,0,Kyle Kuzma,K. Kuzma,All,2.06,100,23.56,2496,4.42,-0.64,0.88
C,7,JaVale McGee,J. McGee,LAL,2.13,122,26.89,1716,4.12,1.5,-0.65
C,7,JaVale McGee,J. McGee,All,2.13,122,26.89,1716,4.12,1.5,-0.65
G,9,Rajon Rondo,R. Rondo,LAL,1.85,84,24.54,1606,4.01,-0.01,-1.21
G,9,Rajon Rondo,R. Rondo,All,1.85,84,24.54,1606,4.01,-0.01,-1.21
C,22,Deandre Ayton,D. Ayton,PHX,2.16,113,24.22,2418,3.96,-0.22,-1.47
C,22,Deandre Ayton,D. Ayton,All,2.16,113,24.22,2418,3.96,-0.22,-1.47
